code,latitude,longitude,above_sea_level_m,sidonm
38,37.6,126.9,129,경기도
41,37.6,127.2,46,경기도
44,37.6,127.5,343,경기도
47,37.6,127.8,224,강원특별자치도
50,37.6,128.1,323,강원특별자치도
53,37.6,128.4,753,강원특별자치도
56,37.6,128.7,997,강원특별자치도
59,37.6,129,162,강원특별자치도
134,37.3,127.2,191,경기도
137,37.3,127.5,41,경기도
140,37.3,127.8,56,강원특별자치도
143,37.3,128.1,909,강원특별자치도
146,37.3,128.4,414,강원특별자치도
149,37.3,128.7,554,강원특별자치도
152,37.3,129,889,강원특별자치도
155,37.3,129.3,15,강원특별자치도
224,37,126.9,20,경기도
227,37,127.2,26,경기도
230,37,127.5,89,충청북도
233,37,127.8,96,충청북도
236,37,128.1,172,충청북도
239,37,128.4,498,충청북도
242,37,128.7,467,경상북도
245,37,129,703,경상북도
248,37,129.3,495,경상북도
317,36.7,126.9,291,충청남도
320,36.7,127.2,97,세종특별자치시
323,36.7,127.5,54,충청북도
326,36.7,127.8,180,충청북도
329,36.7,128.1,363,경상북도
332,36.7,128.4,181,경상북도
335,36.7,128.7,299,경상북도
338,36.7,129,504,경상북도
341,36.7,129.3,515,경상북도
410,36.4,126.9,295,충청남도
413,36.4,127.2,145,충청남도
416,36.4,127.5,106,대전광역시
419,36.4,127.8,159,충청북도
422,36.4,128.1,180,경상북도
425,36.4,128.4,53,경상북도
428,36.4,128.7,172,경상북도
431,36.4,129,601,경상북도
434,36.4,129.3,78,경상북도
503,36.1,126.9,85,전라북도
506,36.1,127.2,305,충청남도
509,36.1,127.5,157,충청남도
512,36.1,127.8,507,충청북도
515,36.1,128.1,206,경상북도
518,36.1,128.4,26,경상북도
521,36.1,128.7,176,대구광역시
524,36.1,129,482,경상북도
527,36.1,129.3,112,경상북도
596,35.8,126.9,11,전라북도
599,35.8,127.2,175,전라북도
602,35.8,127.5,495,전라북도
605,35.8,127.8,627,경상남도
608,35.8,128.1,687,경상남도
611,35.8,128.4,115,경상북도
614,35.8,128.7,330,대구광역시
617,35.8,129,458,경상북도
620,35.8,129.3,209,경상북도
689,35.5,126.9,358,전라북도
692,35.5,127.2,210,전라북도
695,35.5,127.5,254,전라북도
698,35.5,127.8,205,경상남도
701,35.5,128.1,112,경상남도
704,35.5,128.4,44,경상남도
707,35.5,128.7,166,경상남도
710,35.5,129,420,경상남도
713,35.5,129.3,11,울산광역시
782,35.2,126.9,46,광주광역시
785,35.2,127.2,486,전라남도
788,35.2,127.5,34,전라남도
791,35.2,127.8,336,경상남도
794,35.2,128.1,78,경상남도
797,35.2,128.4,500,경상남도
800,35.2,128.7,33,경상남도
803,35.2,129,39,부산광역시
