,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,1993,1,1,0,-8.4,0.3,-8.4,0.2,73.0,2.2,1024.0,0.5,1.3,0.4,0.0,0.0
1,1993,1,1,1,-8.2,0.3,-8.2,0.2,77.0,2.3,1024.5,0.5,1.9,0.6,0.0,0.0
2,1993,1,1,2,-8.1,0.3,-8.1,0.2,80.0,2.4,1024.8,0.5,2.6,0.8,0.0,0.0
3,1993,1,1,3,-7.9,0.3,-7.9,0.2,85.0,2.6,1025.3,0.5,1.0,0.3,0.0,0.0
4,1993,1,1,4,-7.8,0.3,-7.8,0.2,87.0,2.6,1025.5,0.5,1.1,0.4,0.0,0.0
5,1993,1,1,5,-7.6,0.3,-7.6,0.2,90.0,2.7,1025.7,0.5,0.2,0.1,0.0,0.0
6,1993,1,1,6,-7.4,0.3,-7.4,0.2,92.0,2.8,1025.9,0.5,0.7,0.2,0.0,0.0
7,1993,1,1,7,-7.3,0.3,-7.3,0.2,92.0,2.8,1026.0,0.5,1.0,0.3,0.0,0.0
8,1993,1,1,8,-7.2,0.3,-7.2,0.2,92.0,2.8,1026.2,0.5,0.5,0.2,0.0,0.0
9,1993,1,1,9,-7.1,0.3,-7.1,0.2,92.0,2.8,1026.3,0.5,0.0,0.0,103.0,3.1
10,1993,1,1,10,-6.9,0.3,-6.9,0.2,77.0,2.3,1025.9,0.5,0.0,0.0,267.0,8.0
11,1993,1,1,11,-6.6,0.3,-6.6,0.2,61.0,1.8,1025.6,0.5,0.3,0.1,356.0,10.7
12,1993,1,1,12,-6.4,0.3,-6.4,0.2,46.0,1.4,1025.2,0.5,0.5,0.2,425.0,12.8
13,1993,1,1,13,-6.3,0.3,-6.3,0.2,44.0,1.3,1024.2,0.5,1.2,0.4,461.0,13.8
14,1993,1,1,14,-6.1,0.3,-6.1,0.2,43.0,1.3,1023.3,0.5,1.5,0.5,433.0,13.0
15,1993,1,1,15,-6.0,0.3,-6.0,0.2,41.0,1.2,1022.3,0.5,1.3,0.4,325.0,9.8
16,1993,1,1,16,-5.6,0.3,-5.6,0.2,47.0,1.4,1022.3,0.5,2.0,0.6,233.0,7.0
17,1993,1,1,17,-5.1,0.3,-5.1,0.2,53.0,1.6,1022.4,0.5,2.8,0.9,58.0,1.7
18,1993,1,1,18,-4.7,0.3,-4.7,0.2,59.0,1.8,1022.4,0.5,1.0,0.3,0.0,0.0
19,1993,1,1,19,-4.3,0.3,-4.3,0.2,65.0,2.0,1022.2,0.5,1.2,0.4,0.0,0.0
20,1993,1,1,20,-4.0,0.3,-4.0,0.2,72.0,2.2,1022.1,0.5,0.7,0.2,0.0,0.0
21,1993,1,1,21,-3.6,0.3,-3.6,0.2,78.0,2.3,1021.9,0.5,1.0,0.3,0.0,0.0
22,1993,1,1,22,-3.6,0.3,-3.6,0.2,83.0,2.5,1021.8,0.5,0.7,0.2,0.0,0.0
23,1993,1,1,23,-3.6,0.3,-3.6,0.2,87.0,2.6,1021.7,0.5,0.0,0.0,0.0,0.0
24,1993,1,2,0,-3.6,0.3,-3.6,0.2,92.0,2.8,1021.6,0.5,0.8,0.3,0.0,0.0
25,1993,1,2,1,-3.6,0.3,-3.6,0.2,92.0,2.8,1021.4,0.5,0.0,0.0,0.0,0.0
26,1993,1,2,2,-3.6,0.3,-3.6,0.2,93.0,2.8,1021.2,0.5,0.0,0.0,0.0,0.0
27,1993,1,2,3,-3.6,0.3,-3.6,0.2,93.0,2.8,1021.0,0.5,0.7,0.2,0.0,0.0
28,1993,1,2,4,-3.5,0.3,-3.5,0.2,90.0,2.7,1021.0,0.5,0.3,0.1,0.0,0.0
29,1993,1,2,5,-3.4,0.3,-3.4,0.2,88.0,2.6,1021.0,0.5,0.3,0.1,0.0,0.0
30,1993,1,2,6,-3.3,0.3,-3.3,0.2,85.0,2.6,1021.0,0.5,0.2,0.1,0.0,0.0
31,1993,1,2,7,-2.8,0.3,-2.8,0.2,82.0,2.5,1020.9,0.5,0.5,0.2,0.0,0.0
32,1993,1,2,8,-2.4,0.3,-2.4,0.2,79.0,2.4,1020.8,0.5,1.0,0.3,0.0,0.0
33,1993,1,2,9,-1.9,0.3,-1.9,0.2,76.0,2.3,1020.7,0.5,1.5,0.5,42.0,1.3
34,1993,1,2,10,-1.1,0.3,-1.1,0.2,74.0,2.2,1020.7,0.5,3.3,1.1,133.0,4.0
35,1993,1,2,11,-0.4,0.3,-0.4,0.2,72.0,2.2,1020.8,0.5,2.7,0.9,83.0,2.5
36,1993,1,2,12,0.4,0.3,0.4,0.2,70.0,2.1,1020.8,0.5,3.5,1.1,114.0,3.4
37,1993,1,2,13,1.3,0.3,1.3,0.2,75.0,2.2,1020.2,0.5,3.0,1.0,64.0,1.9
38,1993,1,2,14,2.1,0.3,2.1,0.2,79.0,2.4,1019.5,0.5,3.8,1.2,25.0,0.8
39,1993,1,2,15,3.0,0.3,3.0,0.2,84.0,2.5,1018.9,0.5,3.0,1.0,0.0,0.0
40,1993,1,2,16,3.2,0.3,3.2,0.2,86.0,2.6,1019.1,0.5,0.5,0.2,0.0,0.0
41,1993,1,2,17,3.4,0.3,3.4,0.2,88.0,2.6,1019.3,0.5,0.8,0.3,0.0,0.0
42,1993,1,2,18,3.6,0.3,3.6,0.2,90.0,2.7,1019.5,0.5,0.7,0.2,0.0,0.0
43,1993,1,2,19,3.5,0.3,3.5,0.2,91.0,2.7,1019.6,0.5,0.5,0.2,0.0,0.0
44,1993,1,2,20,3.5,0.3,3.5,0.2,92.0,2.8,1019.7,0.5,0.3,0.1,0.0,0.0
45,1993,1,2,21,3.4,0.3,3.4,0.2,93.0,2.8,1019.8,0.5,0.0,0.0,0.0,0.0
46,1993,1,2,22,3.2,0.3,3.2,0.2,93.0,2.8,1020.0,0.5,0.7,0.2,0.0,0.0
47,1993,1,2,23,3.1,0.3,3.1,0.2,94.0,2.8,1020.1,0.5,1.2,0.4,0.0,0.0
48,1993,1,3,0,2.9,0.3,2.9,0.2,94.0,2.8,1020.3,0.5,0.2,0.1,0.0,0.0
49,1993,1,3,1,2.0,0.3,2.0,0.2,87.0,2.6,1020.4,0.5,1.5,0.5,0.0,0.0
50,1993,1,3,2,1.1,0.3,1.1,0.2,79.0,2.4,1020.5,0.5,2.7,0.9,0.0,0.0
51,1993,1,3,3,0.2,0.3,0.2,0.2,72.0,2.2,1020.6,0.5,1.5,0.5,0.0,0.0
52,1993,1,3,4,-0.0,0.3,-0.0,0.2,74.0,2.2,1020.5,0.5,1.7,0.5,0.0,0.0
53,1993,1,3,5,-0.3,0.3,-0.3,0.2,75.0,2.2,1020.5,0.5,1.5,0.5,0.0,0.0
54,1993,1,3,6,-0.5,0.3,-0.5,0.2,77.0,2.3,1020.4,0.5,1.5,0.5,0.0,0.0
55,1993,1,3,7,-0.5,0.3,-0.5,0.2,80.0,2.4,1021.1,0.5,0.5,0.2,0.0,0.0
56,1993,1,3,8,-0.5,0.3,-0.5,0.2,84.0,2.5,1021.7,0.5,0.7,0.2,0.0,0.0
57,1993,1,3,9,-0.5,0.3,-0.5,0.2,87.0,2.6,1022.4,0.5,1.0,0.3,47.0,1.4
58,1993,1,3,10,-1.7,0.3,-1.7,0.2,75.0,2.2,1022.6,0.5,1.0,0.3,131.0,3.9
59,1993,1,3,11,-2.9,0.3,-2.9,0.2,62.0,1.9,1022.7,0.5,2.5,0.8,186.0,5.6
60,1993,1,3,12,-4.1,0.3,-4.1,0.2,50.0,1.5,1022.9,0.5,4.0,1.3,314.0,9.4
61,1993,1,3,13,-5.7,0.3,-5.7,0.2,46.0,1.4,1022.7,0.5,7.0,2.2,375.0,11.2
62,1993,1,3,14,-7.4,0.3,-7.4,0.2,43.0,1.3,1022.5,0.5,8.3,2.7,372.0,11.2
63,1993,1,3,15,-9.0,0.3,-9.0,0.2,39.0,1.2,1022.3,0.5,7.0,2.2,306.0,9.2
64,1993,1,3,16,-9.4,0.3,-9.4,0.2,40.0,1.2,1023.0,0.5,5.7,1.8,131.0,3.9
65,1993,1,3,17,-9.9,0.3,-9.9,0.2,42.0,1.3,1023.6,0.5,3.5,1.1,50.0,1.5
66,1993,1,3,18,-10.3,0.3,-10.3,0.2,43.0,1.3,1024.3,0.5,5.0,1.6,0.0,0.0
67,1993,1,3,19,-10.9,0.3,-10.9,0.2,44.0,1.3,1024.6,0.5,3.7,1.2,0.0,0.0
68,1993,1,3,20,-11.6,0.3,-11.6,0.2,46.0,1.4,1024.9,0.5,3.3,1.1,0.0,0.0
69,1993,1,3,21,-12.2,0.3,-12.2,0.2,47.0,1.4,1025.2,0.5,4.5,1.4,0.0,0.0
70,1993,1,3,22,-12.4,0.3,-12.4,0.2,47.0,1.4,1025.5,0.5,7.0,2.2,0.0,0.0
71,1993,1,3,23,-12.5,0.3,-12.5,0.2,48.0,1.4,1025.7,0.5,6.7,2.1,0.0,0.0
72,1993,1,4,0,-12.7,0.3,-12.7,0.2,48.0,1.4,1026.0,0.5,6.5,2.1,0.0,0.0
73,1993,1,4,1,-13.1,0.3,-13.1,0.2,48.0,1.4,1026.1,0.5,2.0,0.6,0.0,0.0
74,1993,1,4,2,-13.5,0.3,-13.5,0.2,47.0,1.4,1026.2,0.5,2.0,0.6,0.0,0.0
75,1993,1,4,3,-13.9,0.3,-13.9,0.2,47.0,1.4,1026.3,0.5,2.7,0.9,0.0,0.0
76,1993,1,4,4,-14.1,0.3,-14.1,0.2,47.0,1.4,1026.2,0.5,1.7,0.5,0.0,0.0
