Province,Name,code,latitude,longitude,sidonm
Gangwon,Sokcho,90,38.3,128.6,강원특별자치도
Gangwon,Cheorwon,95,38.1,127.3,경기도
Gyeonggi,Paju,99,37.9,126.8,경기도
Gyeongbuk,Ulleungdo,115,37.5,130.9,경상북도
Gyeongnam,Tongyeong,162,34.8,128.4,경상남도
Jeonbuk,Gochang,172,35.3,126.6,전라남도
Jeonnam,Suncheon,174,35,127.4,전라남도
Jeonnam,Jindo,175,34.5,126.3,전라남도
Chungnam,Hongseong,177,36.7,126.7,충청남도
Jeju,Seongsan,188,33.4,126.9,제주특별자치도
Jeju,Seogwipo,189,33.2,126.6,제주특별자치도
Incheon,Ganghwa,201,37.7,126.4,인천광역시
Gangwon,Inje,211,38.1,128.2,강원특별자치도
Chungnam,Boryeong,235,36.3,126.6,충청남도
Jeonnam,Jangheung,260,34.7,126.9,전라남도
Jeonnam,Haenamgun,261,34.6,126.6,전라남도
Jeonnam,Goheung,262,34.6,127.3,전라남도
Gyeonnam,Geoje,294,34.9,128.6,경상남도
Gyeonnam,Namhae,295,34.8,127.9,경상남도
Incheon,Muuido,665,37.4,126.4,인천광역시
Gangwon,Yangyang,670,38.1,128.6,강원특별자치도
Jeonnam,Baekya,750,34.6,127.6,전라남도
