,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2016,1,1,0,-5.5,1.2,-12.0,0.8,66.0,5,1006.3,3.0,1.5,0.5,0.0,0.0
1,2016,1,1,1,-6.0,1.2,-11.7,0.8,70.0,5,1007.5,3.0,2.1,0.5,0.0,0.0
2,2016,1,1,2,-7.2,1.2,-12.0,0.8,74.0,5,1008.8,3.0,1.1,0.5,0.0,0.0
3,2016,1,1,3,-7.1,1.2,-11.0,0.8,78.0,5,1010.3,3.0,0.6,0.5,0.0,0.0
4,2016,1,1,4,-7.7,1.2,-10.7,0.8,82.0,5,1011.3,3.0,0.6,0.5,0.0,0.0
5,2016,1,1,5,-7.7,1.2,-9.8,0.8,86.0,5,1012.8,3.0,0.3,0.5,0.0,0.0
6,2016,1,1,6,-8.9,1.2,-10.1,0.8,91.0,5,1013.6,3.0,0.3,0.5,0.0,0.0
7,2016,1,1,7,-8.6,1.2,-9.8,0.8,91.0,5,1014.3,3.0,0.4,0.5,0.0,0.0
8,2016,1,1,8,-8.4,1.2,-9.6,0.8,91.0,5,1014.4,3.0,0.1,0.5,48.0,6.0
9,2016,1,1,9,-7.6,1.2,-8.8,0.8,91.0,5,1014.1,3.0,0.6,0.5,72.0,9.0
10,2016,1,1,10,-5.6,1.2,-6.6,0.8,92.0,5,1014.1,3.0,0.3,0.5,136.0,17.0
11,2016,1,1,11,-4.2,1.2,-5.1,0.8,93.0,5,1014.0,3.0,0.3,0.5,229.0,28.0
12,2016,1,1,12,-2.0,1.2,-2.6,0.8,95.0,5,1012.8,3.0,0.6,0.5,247.0,31.0
13,2016,1,1,13,2.3,1.2,1.5,0.8,95.0,5,1011.6,3.0,1.3,0.5,239.0,30.0
14,2016,1,1,14,2.7,1.2,-4.0,0.8,61.0,5,1010.8,3.0,3.1,0.5,142.0,18.0
15,2016,1,1,15,2.7,1.2,-3.8,0.8,62.0,5,1010.4,3.0,2.3,0.5,79.0,10.0
16,2016,1,1,16,2.6,1.2,-3.7,0.8,63.0,5,1010.3,3.0,2.0,0.5,28.0,3.0
17,2016,1,1,17,2.4,1.2,-3.7,0.8,64.0,5,1009.9,3.0,1.8,0.5,0.0,0.0
18,2016,1,1,18,2.0,1.2,-3.9,0.8,65.0,5,1009.8,3.0,0.8,0.5,0.0,0.0
19,2016,1,1,19,2.2,1.2,-3.7,0.8,65.0,5,1009.7,3.0,1.7,0.5,0.0,0.0
20,2016,1,1,20,2.6,1.2,-3.3,0.8,65.0,5,1009.1,3.0,2.8,0.5,0.0,0.0
21,2016,1,1,21,2.5,1.2,-3.0,0.8,67.0,5,1008.8,3.0,2.5,0.5,0.0,0.0
22,2016,1,1,22,2.0,1.2,-2.9,0.8,70.0,5,1008.3,3.0,1.3,0.5,0.0,0.0
23,2016,1,1,23,2.5,1.2,-2.4,0.8,70.0,5,1007.9,3.0,1.7,0.5,0.0,0.0
24,2016,1,2,0,2.4,1.2,-2.1,0.8,72.0,5,1007.5,3.0,1.8,0.5,0.0,0.0
25,2016,1,2,1,3.2,1.2,-1.5,0.8,71.0,5,1007.2,3.0,3.0,0.5,0.0,0.0
26,2016,1,2,2,3.2,1.2,-1.3,0.8,72.0,5,1006.8,3.0,2.7,0.5,0.0,0.0
27,2016,1,2,3,3.5,1.2,-1.0,0.8,72.0,5,1006.3,3.0,2.4,0.5,0.0,0.0
28,2016,1,2,4,3.4,1.2,-0.9,0.8,73.0,5,1005.8,3.0,2.2,0.5,0.0,0.0
29,2016,1,2,5,4.0,1.2,-0.4,0.8,73.0,5,1005.5,3.0,2.6,0.5,0.0,0.0
30,2016,1,2,6,3.8,1.2,-0.2,0.8,75.0,5,1004.8,3.0,2.1,0.5,0.0,0.0
31,2016,1,2,7,3.5,1.2,-0.1,0.8,77.0,5,1004.6,3.0,1.7,0.5,0.0,0.0
32,2016,1,2,8,3.6,1.2,0.1,0.8,78.0,5,1004.5,3.0,1.8,0.5,0.0,0.0
33,2016,1,2,9,3.8,1.2,0.1,0.8,77.0,5,1004.9,3.0,2.1,0.5,25.0,3.0
34,2016,1,2,10,4.3,1.2,0.6,0.8,77.0,5,1004.8,3.0,2.5,0.5,98.0,12.0
35,2016,1,2,11,5.3,1.2,1.2,0.8,75.0,5,1004.8,3.0,1.9,0.5,149.0,18.0
36,2016,1,2,12,6.6,1.2,1.9,0.8,72.0,5,1004.1,3.0,1.5,0.5,129.0,16.0
37,2016,1,2,13,7.3,1.2,1.7,0.8,68.0,5,1002.9,3.0,3.0,0.5,107.0,13.0
38,2016,1,2,14,7.5,1.2,1.9,0.8,68.0,5,1002.3,3.0,2.3,0.5,161.0,20.0
39,2016,1,2,15,8.0,1.2,2.0,0.8,66.0,5,1001.6,3.0,3.0,0.5,144.0,18.0
40,2016,1,2,16,7.8,1.2,2.2,0.8,68.0,5,1001.5,3.0,2.7,0.5,41.0,5.0
41,2016,1,2,17,7.4,1.2,2.0,0.8,69.0,5,1001.7,3.0,1.7,0.5,0.0,0.0
42,2016,1,2,18,6.9,1.2,1.9,0.8,71.0,5,1001.7,3.0,2.1,0.5,0.0,0.0
43,2016,1,2,19,6.2,1.2,2.0,0.8,75.0,5,1001.9,3.0,1.7,0.5,0.0,0.0
44,2016,1,2,20,4.7,1.2,1.8,0.8,82.0,5,1001.7,3.0,0.3,0.5,0.0,0.0
45,2016,1,2,21,3.9,1.2,1.9,0.8,87.0,5,1001.9,3.0,0.9,0.5,0.0,0.0
46,2016,1,2,22,1.3,1.2,-0.3,0.8,89.0,5,1001.6,3.0,0.1,0.5,0.0,0.0
47,2016,1,2,23,1.4,1.2,0.2,0.8,92.0,5,1001.2,3.0,0.2,0.5,0.0,0.0
48,2016,1,3,0,-0.2,1.2,-1.3,0.8,92.0,5,1001.4,3.0,0.5,0.5,0.0,0.0
49,2016,1,3,1,0.5,1.2,-0.5,0.8,93.0,5,1001.1,3.0,0.2,0.5,0.0,0.0
50,2016,1,3,2,-0.3,1.2,-1.1,0.8,94.0,5,1000.9,3.0,0.2,0.5,0.0,0.0
51,2016,1,3,3,0.0,1.2,-0.7,0.8,95.0,5,1000.9,3.0,0.3,0.5,0.0,0.0
52,2016,1,3,4,-0.5,1.2,-1.0,0.8,96.0,5,1000.5,3.0,0.0,0.5,0.0,0.0
