Unnamed: 0,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2010,1,1,0,-4.5,0.3,-14.5,0.2,46,1.4,997.1,0.5,2.5,0.8,0,0
1,2010,1,1,1,-4.8,0.3,-14.6,0.2,47,1.4,997.8,0.5,2.3,0.7,0,0
2,2010,1,1,2,-5.1,0.3,-14.6,0.2,48,1.4,998.5,0.5,2.2,0.7,0,0
3,2010,1,1,3,-5.4,0.3,-14.7,0.2,49,1.5,999.2,0.5,2.0,0.6,0,0
4,2010,1,1,4,-5.7,0.3,-14.8,0.2,50,1.5,1000.0,0.5,1.9,0.6,0,0
5,2010,1,1,5,-6.0,0.3,-14.8,0.2,50,1.5,1000.7,0.5,1.7,0.5,0,0
6,2010,1,1,6,-6.3,0.3,-14.9,0.2,51,1.5,1001.4,0.5,1.6,0.5,0,0
7,2010,1,1,7,-6.3,0.3,-14.6,0.2,52,1.6,1001.2,0.5,1.2,0.4,0,0
8,2010,1,1,8,-6.2,0.3,-13.9,0.2,54,1.6,1001.2,0.5,0.9,0.3,0,0
9,2010,1,1,9,-4.3,0.3,-14.0,0.2,47,1.4,1001.7,0.5,0.8,0.3,199,6
10,2010,1,1,10,-2.4,0.3,-13.1,0.2,44,1.3,1002.0,0.5,0.9,0.3,342,10
11,2010,1,1,11,-0.8,0.3,-11.9,0.2,43,1.3,1001.9,0.5,1.2,0.4,187,6
12,2010,1,1,12,0.6,0.3,-11.1,0.2,41,1.2,1001.3,0.5,1.7,0.5,210,6
13,2010,1,1,13,1.8,0.3,-11.2,0.2,37,1.1,1000.3,0.5,2.5,0.8,525,16
14,2010,1,1,14,2.5,0.3,-11.3,0.2,35,1.0,999.7,0.5,2.6,0.8,463,14
15,2010,1,1,15,2.8,0.3,-11.6,0.2,34,1.0,999.5,0.5,2.7,0.9,333,10
16,2010,1,1,16,2.2,0.3,-11.0,0.2,37,1.1,999.1,0.5,2.3,0.7,76,2
17,2010,1,1,17,1.0,0.3,-9.7,0.2,45,1.3,999.1,0.5,1.7,0.5,0,0
18,2010,1,1,18,-0.2,0.3,-9.5,0.2,50,1.5,999.2,0.5,1.6,0.5,0,0
19,2010,1,1,19,-1.4,0.3,-9.5,0.2,54,1.6,999.5,0.5,1.6,0.5,0,0
20,2010,1,1,20,-2.5,0.3,-9.3,0.2,60,1.8,999.9,0.5,1.5,0.5,0,0
21,2010,1,1,21,-3.3,0.3,-9.4,0.2,63,1.9,1000.4,0.5,1.3,0.4,0,0
22,2010,1,1,22,-3.3,0.3,-9.5,0.2,62,1.9,1000.3,0.5,1.0,0.3,0,0
23,2010,1,1,23,-3.1,0.3,-9.7,0.2,60,1.8,999.9,0.5,0.8,0.3,0,0
24,2010,1,2,0,-2.7,0.3,-9.6,0.2,59,1.8,1000.0,0.5,0.6,0.2,0,0
25,2010,1,2,1,-2.7,0.3,-9.6,0.2,59,1.8,1000.1,0.5,0.6,0.2,0,0
26,2010,1,2,2,-3.2,0.3,-9.4,0.2,62,1.9,1000.0,0.5,0.7,0.2,0,0
27,2010,1,2,3,-3.7,0.3,-9.3,0.2,65,2.0,999.4,0.5,0.9,0.3,0,0
28,2010,1,2,4,-3.6,0.3,-9.4,0.2,64,1.9,999.4,0.5,0.8,0.3,0,0
29,2010,1,2,5,-3.7,0.3,-9.2,0.2,66,2.0,998.4,0.5,0.8,0.3,0,0
30,2010,1,2,6,-3.4,0.3,-9.0,0.2,65,2.0,998.2,0.5,0.8,0.3,0,0
31,2010,1,2,7,-2.5,0.3,-8.8,0.2,62,1.9,997.6,0.5,0.6,0.2,0,0
32,2010,1,2,8,-2.1,0.3,-8.3,0.2,63,1.9,997.2,0.5,0.5,0.2,38,1
33,2010,1,2,9,-0.6,0.3,-8.0,0.2,57,1.7,996.7,0.5,0.3,0.1,90,3
34,2010,1,2,10,2.3,0.3,-6.9,0.2,51,1.5,996.7,0.5,0.5,0.2,171,5
35,2010,1,2,11,5.1,0.3,-3.7,0.2,53,1.6,996.0,0.5,1.2,0.4,237,7
36,2010,1,2,12,7.0,0.3,-1.0,0.2,57,1.7,995.0,0.5,1.9,0.6,271,8
37,2010,1,2,13,8.4,0.3,0.6,0.2,58,1.7,993.7,0.5,2.4,0.8,279,8
38,2010,1,2,14,9.0,0.3,1.1,0.2,58,1.7,992.9,0.5,2.5,0.8,445,13
39,2010,1,2,15,8.8,0.3,1.7,0.2,61,1.8,992.6,0.5,2.0,0.6,248,7
40,2010,1,2,16,7.8,0.3,2.1,0.2,67,2.0,992.7,0.5,2.2,0.7,73,2
41,2010,1,2,17,6.1,0.3,1.7,0.2,73,2.2,993.2,0.5,2.2,0.7,0,0
42,2010,1,2,18,4.3,0.3,0.8,0.2,78,2.3,993.8,0.5,2.4,0.8,0,0
43,2010,1,2,19,3.0,0.3,0.3,0.2,82,2.5,994.8,0.5,2.5,0.8,0,0
44,2010,1,2,20,2.2,0.3,-0.0,0.2,85,2.6,995.6,0.5,2.6,0.8,0,0
45,2010,1,2,21,1.4,0.3,-0.6,0.2,87,2.6,996.4,0.5,2.8,0.9,0,0
46,2010,1,2,22,0.1,0.3,-1.7,0.2,88,2.6,997.1,0.5,2.8,0.9,0,0
47,2010,1,2,23,-1.0,0.3,-3.4,0.2,84,2.5,997.7,0.5,2.7,0.9,0,0
48,2010,1,3,0,-1.8,0.3,-5.0,0.2,79,2.4,997.9,0.5,2.6,0.8,0,0
49,2010,1,3,1,-2.4,0.3,-6.2,0.2,75,2.2,998.3,0.5,2.4,0.8,0,0
50,2010,1,3,2,-2.8,0.3,-7.0,0.2,73,2.2,998.6,0.5,2.1,0.7,0,0
51,2010,1,3,3,-3.2,0.3,-7.7,0.2,71,2.1,998.8,0.5,2.1,0.7,0,0
52,2010,1,3,4,-2.7,0.3,-7.0,0.2,72,2.2,998.6,0.5,2.1,0.7,0,0
53,2010,1,3,5,-3.0,0.3,-7.7,0.2,70,2.1,998.6,0.5,1.9,0.6,0,0
54,2010,1,3,6,-3.3,0.3,-8.3,0.2,68,2.0,998.9,0.5,1.7,0.5,0,0
55,2010,1,3,7,-4.0,0.3,-8.8,0.2,69,2.1,999.7,0.5,1.6,0.5,0,0
56,2010,1,3,8,-4.2,0.3,-9.0,0.2,69,2.1,1000.5,0.5,1.4,0.4,0,0
57,2010,1,3,9,-2.3,0.3,-10.0,0.2,56,1.7,1000.9,0.5,1.9,0.6,190,6
58,2010,1,3,10,-1.0,0.3,-10.5,0.2,49,1.5,1001.4,0.5,2.2,0.7,345,10
59,2010,1,3,11,0.2,0.3,-11.1,0.2,42,1.3,1001.4,0.5,2.3,0.7,193,6
60,2010,1,3,12,1.3,0.3,-11.9,0.2,37,1.1,1000.9,0.5,2.3,0.7,530,16
61,2010,1,3,13,2.3,0.3,-12.0,0.2,34,1.0,1000.0,0.5,2.2,0.7,532,16
62,2010,1,3,14,2.9,0.3,-12.6,0.2,31,0.9,999.3,0.5,2.0,0.6,470,14
63,2010,1,3,15,3.2,0.3,-13.4,0.2,28,0.8,999.1,0.5,1.8,0.6,340,10
64,2010,1,3,16,3.3,0.3,-12.5,0.2,30,0.9,998.8,0.5,1.1,0.4,78,2
65,2010,1,3,17,2.6,0.3,-9.5,0.2,41,1.2,998.9,0.5,0.2,0.1,0,0
66,2010,1,3,18,1.4,0.3,-10.8,0.2,40,1.2,998.8,0.5,0.6,0.2,0,0
67,2010,1,3,19,0.5,0.3,-11.1,0.2,41,1.2,999.2,0.5,0.8,0.3,0,0
68,2010,1,3,20,-1.8,0.3,-10.4,0.2,52,1.6,998.9,0.5,1.2,0.4,0,0
69,2010,1,3,21,-2.9,0.3,-11.0,0.2,54,1.6,999.1,0.5,1.3,0.4,0,0
70,2010,1,3,22,-3.1,0.3,-11.0,0.2,54,1.6,999.0,0.5,1.2,0.4,0,0
71,2010,1,3,23,-3.5,0.3,-11.1,0.2,56,1.7,998.6,0.5,1.3,0.4,0,0
72,2010,1,4,0,-3.1,0.3,-11.7,0.2,51,1.5,998.4,0.5,1.4,0.4,0,0
73,2010,1,4,1,-3.3,0.3,-12.2,0.2,50,1.5,998.2,0.5,1.5,0.5,0,0
