,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2009,1,1,0,4.7,0.3,-3.4,0.2,56,2,1017.9,0.5,15.5,5.0,0,0
1,2009,1,1,1,4.4,0.3,-3.5,0.2,56,2,1017.3,0.5,16.3,5.2,0,0
2,2009,1,1,2,4.2,0.3,-3.7,0.2,56,2,1016.7,0.5,17.0,5.4,0,0
3,2009,1,1,3,3.9,0.3,-3.8,0.2,57,2,1016.0,0.5,17.8,5.7,0,0
4,2009,1,1,4,3.6,0.3,-4.0,0.2,57,2,1015.4,0.5,18.6,6.0,0,0
5,2009,1,1,5,3.4,0.3,-4.1,0.2,58,2,1014.8,0.5,19.3,6.2,0,0
6,2009,1,1,6,3.1,0.3,-4.3,0.2,58,2,1014.2,0.5,20.1,6.4,0,0
7,2009,1,1,7,1.1,0.3,-1.8,0.2,81,2,1014.7,0.5,21.9,7.0,0,0
8,2009,1,1,8,3.1,0.3,-3.2,0.2,63,2,1014.9,0.5,20.4,6.5,28,1
9,2009,1,1,9,3.1,0.3,-4.3,0.2,58,2,1015.4,0.5,20.3,6.5,28,1
10,2009,1,1,10,3.2,0.3,-4.0,0.2,59,2,1015.6,0.5,19.6,6.3,39,1
11,2009,1,1,11,3.6,0.3,-3.6,0.2,59,2,1014.9,0.5,20.7,6.6,67,2
12,2009,1,1,12,3.8,0.3,-3.0,0.2,61,2,1014.7,0.5,21.0,6.7,111,3
13,2009,1,1,13,3.6,0.3,-3.2,0.2,61,2,1014.5,0.5,21.7,6.9,117,4
14,2009,1,1,14,4.0,0.3,-2.8,0.2,61,2,1013.8,0.5,22.0,7.0,106,3
15,2009,1,1,15,3.6,0.3,-3.9,0.2,58,2,1014.4,0.5,22.3,7.1,81,2
