,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2009,1,1,0,-6.4,0.3,-13.9,0.2,55,2,1020.8,0.5,1.7,0.5,0,0
1,2009,1,1,1,-6.8,0.3,-14.2,0.2,56,2,1020.9,0.5,1.6,0.5,0,0
2,2009,1,1,2,-7.2,0.3,-14.4,0.2,56,2,1021.0,0.5,1.5,0.5,0,0
3,2009,1,1,3,-7.7,0.3,-14.7,0.2,57,2,1021.1,0.5,1.3,0.4,0,0
4,2009,1,1,4,-8.1,0.3,-15.0,0.2,58,2,1021.2,0.5,1.2,0.4,0,0
5,2009,1,1,5,-8.6,0.3,-15.2,0.2,58,2,1021.3,0.5,1.1,0.4,0,0
6,2009,1,1,6,-9.0,0.3,-15.5,0.2,59,2,1021.4,0.5,1.0,0.3,0,0
7,2009,1,1,7,-9.1,0.3,-15.4,0.2,60,2,1022.0,0.5,1.1,0.4,0,0
8,2009,1,1,8,-9.1,0.3,-15.4,0.2,60,2,1022.6,0.5,1.9,0.6,0,0
9,2009,1,1,9,-8.0,0.3,-15.0,0.2,57,2,1022.8,0.5,1.6,0.5,61,2
10,2009,1,1,10,-6.6,0.3,-14.8,0.2,52,2,1023.5,0.5,2.9,0.9,217,7
11,2009,1,1,11,-5.3,0.3,-14.3,0.2,49,1,1023.2,0.5,2.5,0.8,356,11
12,2009,1,1,12,-4.3,0.3,-14.7,0.2,44,1,1022.5,0.5,2.6,0.8,450,14
13,2009,1,1,13,-2.9,0.3,-14.0,0.2,42,1,1022.1,0.5,1.9,0.6,506,15
14,2009,1,1,14,-2.4,0.3,-14.1,0.2,40,1,1021.7,0.5,2.6,0.8,458,14
15,2009,1,1,15,-1.8,0.3,-13.9,0.2,39,1,1021.7,0.5,1.9,0.6,369,11
16,2009,1,1,16,-2.4,0.3,-13.5,0.2,42,1,1022.0,0.5,2.5,0.8,239,7
17,2009,1,1,17,-2.8,0.3,-13.6,0.2,43,1,1022.3,0.5,1.4,0.4,72,2
18,2009,1,1,18,-3.8,0.3,-12.2,0.2,52,2,1022.6,0.5,1.6,0.5,3,0
19,2009,1,1,19,-4.5,0.3,-12.1,0.2,55,2,1023.3,0.5,0.3,0.1,0,0
20,2009,1,1,20,-5.5,0.3,-11.8,0.2,61,2,1023.7,0.5,0.2,0.1,0,0
21,2009,1,1,21,-6.3,0.3,-11.4,0.2,67,2,1023.7,0.5,0.5,0.2,0,0
22,2009,1,1,22,-6.8,0.3,-11.1,0.2,71,2,1023.8,0.5,0.1,0.0,0,0
23,2009,1,1,23,-7.5,0.3,-11.0,0.2,76,2,1023.9,0.5,0.4,0.1,0,0
24,2009,1,2,0,-8.1,0.3,-11.2,0.2,78,2,1024.1,0.5,0.0,0.0,0,0
25,2009,1,2,1,-7.8,0.3,-11.2,0.2,76,2,1023.9,0.5,0.0,0.0,0,0
26,2009,1,2,2,-8.1,0.3,-11.1,0.2,79,2,1023.8,0.5,0.0,0.0,0,0
27,2009,1,2,3,-8.2,0.3,-11.0,0.2,80,2,1024.1,0.5,0.2,0.1,0,0
