Province,Name,code,latitude,longitude,sidonm
Gangwon,Chuncheon,101,37.9,127.74,강원특별자치도
Gangwon,Gangneung,105,37.75,128.89,강원특별자치도
Seoul,Seoul,108,37.57,126.97,서울특별시
Incheon,Incheon,112,37.48,126.62,인천광역시
Gangwon,Wonju,114,37.34,127.95,강원특별자치도
Chungnam,Seosan,129,36.78,126.49,충청남도
Chungbuk,Cheongju,131,36.64,127.44,충청북도
Daejeon,Daejeon,133,36.37,127.37,대전광역시
Gyeongbuk,Pohang,138,36.03,129.38,경상북도
Daegu,Daegu,143,35.88,128.65,대구광역시
Jeonbuk,Jeonju,146,35.82,127.16,전라북도
Gwangju,Gwangju,156,35.17,126.89,광주광역시
Busan,Busan,159,35.1,129.03,부산광역시
Jeonnam,Mokpo,165,34.82,126.38,전라남도
Jeju,Jeju,184,33.51,126.53,제주특별자치도
Jeju,Kosan,185,33.29,126.16,제주특별자치도
