,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2016,1,1,0,-5.5,2.4,-9.2,1.7,76,9.1,1003.3,1.5,1.1,0.4,0,0
1,2016,1,1,1,-5.0,2.4,-8.5,1.7,77,9.2,1004.7,1.5,1.0,0.4,0,0
2,2016,1,1,2,-4.6,2.4,-7.8,1.7,79,9.5,1006.2,1.5,0.9,0.3,0,0
3,2016,1,1,3,-4.1,2.4,-7.1,1.7,80,9.6,1007.6,1.5,0.7,0.3,0,0
4,2016,1,1,4,-3.7,2.4,-6.4,1.7,82,9.8,1009.1,1.5,0.6,0.2,0,0
5,2016,1,1,5,-3.2,2.4,-5.7,1.7,84,10.1,1010.5,1.5,0.4,0.1,0,0
6,2016,1,1,6,-2.8,2.4,-5.0,1.7,85,10.2,1012.0,1.5,0.3,0.1,0,0
7,2016,1,1,7,-2.9,2.4,-5.0,1.7,85,10.2,1012.2,1.5,0.1,0.0,0,0
8,2016,1,1,8,-3.1,2.4,-5.1,1.7,86,10.3,1012.1,1.5,0.6,0.2,0,0
9,2016,1,1,9,-2.2,2.4,-4.7,1.7,83,10.0,1012.2,1.5,0.3,0.1,83,6
10,2016,1,1,10,0.4,2.4,-5.4,1.7,65,7.8,1012.3,1.5,0.5,0.2,206,14
11,2016,1,1,11,2.1,2.4,-4.6,1.7,61,7.3,1012.1,1.5,1.0,0.4,417,29
12,2016,1,1,12,2.8,2.4,-5.0,1.7,56,6.7,1011.5,1.5,2.0,0.7,385,27
13,2016,1,1,13,3.4,2.4,-4.6,1.7,56,6.7,1010.2,1.5,2.1,0.8,138,10
14,2016,1,1,14,3.8,2.4,-4.2,1.7,56,6.7,1009.6,1.5,2.4,0.9,193,14
15,2016,1,1,15,3.8,2.4,-3.8,1.7,58,7.0,1009.1,1.5,2.5,0.9,128,9
16,2016,1,1,16,2.9,2.4,-3.7,1.7,62,7.4,1008.5,1.5,2.1,0.8,99,7
17,2016,1,1,17,1.9,2.4,-3.4,1.7,68,8.2,1008.6,1.5,1.4,0.5,14,1
18,2016,1,1,18,1.1,2.4,-3.3,1.7,72,8.6,1008.6,1.5,1.3,0.5,10,1
19,2016,1,1,19,0.2,2.4,-3.2,1.7,78,9.4,1008.6,1.5,1.4,0.5,10,1
20,2016,1,1,20,-0.2,2.4,-3.1,1.7,81,9.7,1008.3,1.5,1.5,0.6,0,0
21,2016,1,1,21,-0.5,2.4,-3.0,1.7,83,10.0,1008.1,1.5,1.6,0.6,0,0
22,2016,1,1,22,-0.5,2.4,-2.8,1.7,84,10.1,1007.7,1.5,1.6,0.6,0,0
23,2016,1,1,23,-0.2,2.4,-2.6,1.7,84,10.1,1007.3,1.5,1.7,0.6,0,0
24,2016,1,2,0,-0.0,2.4,-2.4,1.7,84,10.1,1007.0,1.5,1.8,0.7,0,0
25,2016,1,2,1,0.0,2.4,-2.1,1.7,86,10.3,1006.5,1.5,1.8,0.7,0,0
26,2016,1,2,2,-0.1,2.4,-1.8,1.7,88,10.6,1006.2,1.5,1.8,0.7,0,0
27,2016,1,2,3,-0.1,2.4,-1.4,1.7,91,10.9,1005.9,1.5,1.7,0.6,0,0
28,2016,1,2,4,-0.5,2.4,-1.9,1.7,90,10.8,1005.3,1.5,1.6,0.6,0,0
29,2016,1,2,5,-1.0,2.4,-2.1,1.7,92,11.0,1004.7,1.5,1.6,0.6,0,0
30,2016,1,2,6,-0.7,2.4,-1.7,1.7,93,11.2,1004.5,1.5,1.6,0.6,0,0
31,2016,1,2,7,-0.9,2.4,-1.7,1.7,94,11.3,1004.3,1.5,1.7,0.6,10,1
32,2016,1,2,8,-0.8,2.4,-1.6,1.7,94,11.3,1004.0,1.5,1.7,0.6,1,0
