,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,1996,1,1,0,-12.9,0.3,-12.9,0.2,33.0,1.0,1021.4,0.5,3.7,1.2,0.0,0.0
1,1996,1,1,1,-13.5,0.3,-13.5,0.2,33.0,1.0,1021.2,0.5,4.7,1.5,0.0,0.0
2,1996,1,1,2,-14.2,0.3,-14.2,0.2,32.0,1.0,1020.8,0.5,4.2,1.3,0.0,0.0
3,1996,1,1,3,-14.9,0.3,-14.9,0.2,32.0,1.0,1020.6,0.5,3.8,1.2,0.0,0.0
4,1996,1,1,4,-15.7,0.3,-15.7,0.2,33.0,1.0,1020.2,0.5,4.0,1.3,0.0,0.0
5,1996,1,1,5,-16.3,0.3,-16.3,0.2,32.0,1.0,1019.8,0.5,6.1,2.0,0.0,0.0
6,1996,1,1,6,-17.1,0.3,-17.1,0.2,32.0,1.0,1019.4,0.5,3.7,1.2,0.0,0.0
7,1996,1,1,7,-17.6,0.3,-17.6,0.2,31.0,0.9,1020.2,0.5,2.3,0.7,0.0,0.0
8,1996,1,1,8,-18.2,0.3,-18.2,0.2,29.0,0.9,1021.1,0.5,4.0,1.3,0.0,0.0
9,1996,1,1,9,-18.7,0.3,-18.7,0.2,28.0,0.8,1021.9,0.5,3.0,1.0,92.0,2.8
10,1996,1,1,10,-18.4,0.3,-18.4,0.2,25.0,0.8,1022.0,0.5,5.0,1.6,258.0,7.7
11,1996,1,1,11,-18.2,0.3,-18.2,0.2,21.0,0.6,1022.0,0.5,3.5,1.1,394.0,11.8
12,1996,1,1,12,-17.9,0.3,-17.9,0.2,18.0,0.5,1022.1,0.5,2.2,0.7,478.0,14.3
13,1996,1,1,13,-17.2,0.3,-17.2,0.2,19.0,0.6,1021.9,0.5,2.7,0.9,503.0,15.1
14,1996,1,1,14,-16.4,0.3,-16.4,0.2,19.0,0.6,1021.7,0.5,1.8,0.6,469.0,14.1
15,1996,1,1,15,-15.7,0.3,-15.7,0.2,20.0,0.6,1021.5,0.5,2.3,0.7,378.0,11.3
16,1996,1,1,16,-16.7,0.3,-16.7,0.2,21.0,0.6,1021.6,0.5,1.3,0.4,236.0,7.1
17,1996,1,1,17,-17.7,0.3,-17.7,0.2,21.0,0.6,1021.6,0.5,0.8,0.3,78.0,2.3
18,1996,1,1,18,-18.7,0.3,-18.7,0.2,22.0,0.7,1021.7,0.5,0.0,0.0,0.0,0.0
19,1996,1,1,19,-18.2,0.3,-18.2,0.2,23.0,0.7,1022.0,0.5,2.0,0.6,0.0,0.0
20,1996,1,1,20,-17.6,0.3,-17.6,0.2,24.0,0.7,1022.4,0.5,1.5,0.5,0.0,0.0
21,1996,1,1,21,-17.1,0.3,-17.1,0.2,25.0,0.8,1022.7,0.5,2.0,0.6,0.0,0.0
22,1996,1,1,22,-15.3,0.3,-15.3,0.2,30.0,0.9,1022.4,0.5,2.8,0.9,0.0,0.0
23,1996,1,1,23,-13.5,0.3,-13.5,0.2,34.0,1.0,1022.2,0.5,2.7,0.9,0.0,0.0
24,1996,1,2,0,-11.7,0.3,-11.7,0.2,39.0,1.2,1021.9,0.5,2.3,0.7,0.0,0.0
25,1996,1,2,1,-10.8,0.3,-10.8,0.2,42.0,1.3,1021.6,0.5,3.3,1.1,0.0,0.0
26,1996,1,2,2,-9.9,0.3,-9.9,0.2,46.0,1.4,1021.4,0.5,3.0,1.0,0.0,0.0
27,1996,1,2,3,-9.0,0.3,-9.0,0.2,49.0,1.5,1021.1,0.5,3.3,1.1,0.0,0.0
28,1996,1,2,4,-8.5,0.3,-8.5,0.2,51.0,1.5,1020.8,0.5,3.3,1.1,0.0,0.0
29,1996,1,2,5,-7.9,0.3,-7.9,0.2,54.0,1.6,1020.6,0.5,3.0,1.0,0.0,0.0
30,1996,1,2,6,-7.4,0.3,-7.4,0.2,56.0,1.7,1020.3,0.5,2.0,0.6,0.0,0.0
31,1996,1,2,7,-6.7,0.3,-6.7,0.2,57.0,1.7,1020.3,0.5,3.3,1.1,0.0,0.0
32,1996,1,2,8,-6.1,0.3,-6.1,0.2,58.0,1.7,1020.4,0.5,3.3,1.1,0.0,0.0
33,1996,1,2,9,-5.4,0.3,-5.4,0.2,59.0,1.8,1020.4,0.5,1.8,0.6,86.0,2.6
34,1996,1,2,10,-6.0,0.3,-6.0,0.2,50.0,1.5,1019.8,0.5,3.0,1.0,242.0,7.3
35,1996,1,2,11,-6.5,0.3,-6.5,0.2,42.0,1.3,1019.2,0.5,3.7,1.2,381.0,11.4
36,1996,1,2,12,-7.1,0.3,-7.1,0.2,33.0,1.0,1018.6,0.5,4.2,1.3,472.0,14.2
37,1996,1,2,13,-7.6,0.3,-7.6,0.2,30.0,0.9,1017.4,0.5,4.0,1.3,500.0,15.0
38,1996,1,2,14,-8.1,0.3,-8.1,0.2,27.0,0.8,1016.3,0.5,3.7,1.2,467.0,14.0
39,1996,1,2,15,-8.6,0.3,-8.6,0.2,24.0,0.7,1015.1,0.5,3.8,1.2,375.0,11.2
40,1996,1,2,16,-9.3,0.3,-9.3,0.2,23.0,0.7,1015.4,0.5,3.8,1.2,233.0,7.0
41,1996,1,2,17,-10.0,0.3,-10.0,0.2,23.0,0.7,1015.6,0.5,4.0,1.3,81.0,2.4
42,1996,1,2,18,-10.7,0.3,-10.7,0.2,22.0,0.7,1015.9,0.5,3.0,1.0,0.0,0.0
43,1996,1,2,19,-10.4,0.3,-10.4,0.2,26.0,0.8,1015.8,0.5,2.7,0.9,0.0,0.0
44,1996,1,2,20,-10.1,0.3,-10.1,0.2,30.0,0.9,1015.6,0.5,1.3,0.4,0.0,0.0
45,1996,1,2,21,-9.8,0.3,-9.8,0.2,34.0,1.0,1015.5,0.5,1.0,0.3,0.0,0.0
46,1996,1,2,22,-9.1,0.3,-9.1,0.2,36.0,1.1,1014.9,0.5,1.3,0.4,0.0,0.0
47,1996,1,2,23,-8.5,0.3,-8.5,0.2,38.0,1.1,1014.4,0.5,3.0,1.0,0.0,0.0
48,1996,1,3,0,-7.8,0.3,-7.8,0.2,40.0,1.2,1013.8,0.5,2.8,0.9,0.0,0.0
49,1996,1,3,1,-5.7,0.3,-5.7,0.2,49.0,1.5,1013.1,0.5,2.0,0.6,0.0,0.0
50,1996,1,3,2,-3.5,0.3,-3.5,0.2,59.0,1.8,1012.4,0.5,1.3,0.4,0.0,0.0
51,1996,1,3,3,-1.4,0.3,-1.4,0.2,68.0,2.0,1011.7,0.5,1.7,0.5,0.0,0.0
52,1996,1,3,4,-1.2,0.3,-1.2,0.2,63.0,1.9,1011.3,0.5,4.0,1.3,0.0,0.0
53,1996,1,3,5,-1.1,0.3,-1.1,0.2,59.0,1.8,1011.0,0.5,5.0,1.6,0.0,0.0
54,1996,1,3,6,-0.9,0.3,-0.9,0.2,54.0,1.6,1010.6,0.5,5.3,1.7,0.0,0.0
55,1996,1,3,7,-3.3,0.3,-3.3,0.2,50.0,1.5,1011.9,0.5,6.3,2.0,0.0,0.0
56,1996,1,3,8,-5.8,0.3,-5.8,0.2,46.0,1.4,1013.3,0.5,5.8,1.9,0.0,0.0
57,1996,1,3,9,-8.2,0.3,-8.2,0.2,42.0,1.3,1014.6,0.5,6.3,2.0,75.0,2.2
58,1996,1,3,10,-11.4,0.3,-11.4,0.2,35.0,1.0,1015.2,0.5,9.0,2.9,244.0,7.3
59,1996,1,3,11,-14.7,0.3,-14.7,0.2,28.0,0.8,1015.8,0.5,5.8,1.9,397.0,11.9
60,1996,1,3,12,-17.9,0.3,-17.9,0.2,21.0,0.6,1016.4,0.5,8.3,2.7,489.0,14.7
61,1996,1,3,13,-17.6,0.3,-17.6,0.2,21.0,0.6,1016.6,0.5,8.5,2.7,517.0,15.5
62,1996,1,3,14,-17.4,0.3,-17.4,0.2,22.0,0.7,1016.8,0.5,7.0,2.2,483.0,14.5
63,1996,1,3,15,-17.1,0.3,-17.1,0.2,22.0,0.7,1017.0,0.5,4.0,1.3,392.0,11.8
64,1996,1,3,16,-16.9,0.3,-16.9,0.2,23.0,0.7,1018.1,0.5,5.3,1.7,253.0,7.6
65,1996,1,3,17,-16.6,0.3,-16.6,0.2,25.0,0.8,1019.3,0.5,6.0,1.9,92.0,2.8
66,1996,1,3,18,-16.4,0.3,-16.4,0.2,26.0,0.8,1020.4,0.5,5.7,1.8,0.0,0.0
67,1996,1,3,19,-16.2,0.3,-16.2,0.2,28.0,0.8,1021.3,0.5,4.3,1.4,0.0,0.0
68,1996,1,3,20,-15.9,0.3,-15.9,0.2,31.0,0.9,1022.1,0.5,4.5,1.4,0.0,0.0
69,1996,1,3,21,-15.7,0.3,-15.7,0.2,33.0,1.0,1023.0,0.5,3.2,1.0,0.0,0.0
70,1996,1,3,22,-15.3,0.3,-15.3,0.2,36.0,1.1,1023.5,0.5,4.8,1.5,0.0,0.0
71,1996,1,3,23,-14.9,0.3,-14.9,0.2,40.0,1.2,1023.9,0.5,5.2,1.7,0.0,0.0
72,1996,1,4,0,-14.5,0.3,-14.5,0.2,43.0,1.3,1024.4,0.5,2.5,0.8,0.0,0.0
73,1996,1,4,1,-14.9,0.3,-14.9,0.2,42.0,1.3,1024.6,0.5,2.2,0.7,0.0,0.0
74,1996,1,4,2,-15.3,0.3,-15.3,0.2,40.0,1.2,1024.8,0.5,2.8,0.9,0.0,0.0
