,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2012,1,1,0,-4.6,1.2,-12.0,0.8,57.0,5,993.4,3.0,1.6,0.5,0.0,0.0
1,2012,1,1,1,-4.0,1.2,-11.1,0.8,58.0,5,994.2,3.0,1.3,0.5,0.0,0.0
2,2012,1,1,2,-3.6,1.2,-10.1,0.8,61.0,5,995.0,3.0,1.6,0.5,0.0,0.0
3,2012,1,1,3,-3.1,1.2,-9.5,0.8,61.0,5,995.8,3.0,2.1,0.5,0.0,0.0
4,2012,1,1,4,-2.8,1.2,-9.2,0.8,62.0,5,996.5,3.0,2.0,0.5,0.0,0.0
5,2012,1,1,5,-2.3,1.2,-8.5,0.8,62.0,5,997.5,3.0,2.1,0.5,0.0,0.0
6,2012,1,1,6,-1.9,1.2,-7.4,0.8,66.0,5,998.5,3.0,1.5,0.5,0.0,0.0
7,2012,1,1,7,-4.2,1.2,-7.8,0.8,76.0,5,998.5,3.0,0.2,0.5,0.0,0.0
8,2012,1,1,8,-5.8,1.2,-8.3,0.8,82.0,5,998.7,3.0,0.3,0.5,144.0,18.0
9,2012,1,1,9,-5.2,1.2,-8.1,0.8,80.0,5,998.7,3.0,0.6,0.5,206.0,26.0
10,2012,1,1,10,-1.8,1.2,-6.7,0.8,69.0,5,998.6,3.0,2.2,0.5,330.0,41.0
11,2012,1,1,11,0.1,1.2,-9.1,0.8,50.0,5,997.9,3.0,3.3,0.5,383.0,47.0
12,2012,1,1,12,0.3,1.2,-11.1,0.8,42.0,5,996.4,3.0,4.2,0.5,276.0,34.0
13,2012,1,1,13,-0.2,1.2,-10.1,0.8,47.0,5,995.5,3.0,3.2,0.5,141.0,17.0
14,2012,1,1,14,-0.5,1.2,-9.6,0.8,50.0,5,995.1,3.0,2.8,0.5,149.0,18.0
15,2012,1,1,15,-1.0,1.2,-9.8,0.8,51.0,5,995.0,3.0,2.4,0.5,55.0,7.0
16,2012,1,1,16,-1.3,1.2,-10.4,0.8,50.0,5,995.6,3.0,1.6,0.5,53.0,7.0
17,2012,1,1,17,-3.1,1.2,-8.9,0.8,64.0,5,996.5,3.0,2.1,0.5,0.0,0.0
18,2012,1,1,18,-3.7,1.2,-9.7,0.8,63.0,5,997.8,3.0,1.4,0.5,0.0,0.0
19,2012,1,1,19,-3.7,1.2,-11.2,0.8,56.0,5,998.8,3.0,1.1,0.5,0.0,0.0
20,2012,1,1,20,-4.6,1.2,-11.6,0.8,58.0,5,999.3,3.0,1.1,0.5,0.0,0.0
21,2012,1,1,21,-5.9,1.2,-11.4,0.8,65.0,5,999.8,3.0,0.7,0.5,0.0,0.0
22,2012,1,1,22,-6.5,1.2,-10.8,0.8,71.0,5,1000.0,3.0,1.0,0.5,0.0,0.0
23,2012,1,1,23,-6.3,1.2,-10.5,0.8,72.0,5,1000.1,3.0,1.6,0.5,0.0,0.0
24,2012,1,2,0,-6.1,1.2,-10.8,0.8,69.0,5,1000.3,3.0,1.9,0.5,0.0,0.0
25,2012,1,2,1,-6.6,1.2,-10.8,0.8,72.0,5,1000.3,3.0,1.1,0.5,0.0,0.0
26,2012,1,2,2,-6.3,1.2,-10.5,0.8,72.0,5,1000.8,3.0,1.4,0.5,0.0,0.0
27,2012,1,2,3,-6.6,1.2,-10.4,0.8,74.0,5,1001.1,3.0,1.2,0.5,0.0,0.0
28,2012,1,2,4,-6.7,1.2,-10.5,0.8,74.0,5,1001.5,3.0,2.5,0.5,0.0,0.0
29,2012,1,2,5,-6.8,1.2,-11.2,0.8,71.0,5,1001.9,3.0,2.1,0.5,0.0,0.0
30,2012,1,2,6,-6.9,1.2,-11.2,0.8,71.0,5,1001.7,3.0,1.9,0.5,0.0,0.0
31,2012,1,2,7,-6.9,1.2,-11.1,0.8,72.0,5,1002.3,3.0,1.6,0.5,0.0,0.0
32,2012,1,2,8,-6.8,1.2,-11.1,0.8,71.0,5,1002.4,3.0,0.2,0.5,31.0,4.0
33,2012,1,2,9,-6.2,1.2,-10.6,0.8,71.0,5,1002.7,3.0,0.4,0.5,85.0,11.0
34,2012,1,2,10,-5.6,1.2,-10.3,0.8,69.0,5,1002.4,3.0,0.9,0.5,242.0,30.0
35,2012,1,2,11,-4.2,1.2,-10.4,0.8,62.0,5,1002.2,3.0,0.8,0.5,419.0,52.0
36,2012,1,2,12,-2.8,1.2,-10.1,0.8,57.0,5,1001.4,3.0,1.6,0.5,427.0,53.0
37,2012,1,2,13,-2.0,1.2,-9.6,0.8,56.0,5,1000.9,3.0,2.9,0.5,346.0,43.0
38,2012,1,2,14,-1.6,1.2,-9.7,0.8,54.0,5,999.7,3.0,2.4,0.5,281.0,35.0
39,2012,1,2,15,-1.2,1.2,-9.8,0.8,52.0,5,999.0,3.0,2.5,0.5,187.0,23.0
40,2012,1,2,16,-1.0,1.2,-9.6,0.8,52.0,5,999.4,3.0,2.5,0.5,61.0,8.0
41,2012,1,2,17,-1.9,1.2,-9.7,0.8,55.0,5,999.3,3.0,2.2,0.5,0.0,0.0
42,2012,1,2,18,-3.0,1.2,-9.6,0.8,60.0,5,999.7,3.0,0.9,0.5,0.0,0.0
43,2012,1,2,19,-3.4,1.2,-10.0,0.8,60.0,5,1000.2,3.0,1.7,0.5,0.0,0.0
