Unnamed: 0,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2012,1,1,0,-2.8,0.3,-9.8,0.2,60,1.8,994.1,0.5,2.4,0.8,0,0
1,2012,1,1,1,-2.5,0.3,-9.0,0.2,62,1.9,995.0,0.5,2.2,0.7,0,0
2,2012,1,1,2,-2.2,0.3,-8.3,0.2,65,2.0,995.8,0.5,1.9,0.6,0,0
3,2012,1,1,3,-1.9,0.3,-7.5,0.2,67,2.0,996.7,0.5,1.7,0.5,0,0
4,2012,1,1,4,-1.7,0.3,-6.7,0.2,69,2.1,997.5,0.5,1.5,0.5,0,0
5,2012,1,1,5,-1.4,0.3,-6.0,0.2,72,2.2,998.4,0.5,1.2,0.4,0,0
6,2012,1,1,6,-1.1,0.3,-5.2,0.2,74,2.2,999.2,0.5,1.0,0.3,0,0
7,2012,1,1,7,-0.5,0.3,-4.6,0.2,74,2.2,999.2,0.5,0.7,0.2,0,0
8,2012,1,1,8,-0.4,0.3,-4.0,0.2,77,2.3,999.5,0.5,0.6,0.2,0,0
9,2012,1,1,9,0.0,0.3,-3.3,0.2,78,2.3,1000.1,0.5,0.5,0.2,33,1
10,2012,1,1,10,1.2,0.3,-2.9,0.2,74,2.2,1000.2,0.5,1.4,0.4,229,7
11,2012,1,1,11,1.9,0.3,-3.5,0.2,67,2.0,999.7,0.5,2.4,0.8,315,10
12,2012,1,1,12,1.8,0.3,-3.8,0.2,66,2.0,998.9,0.5,2.8,0.9,247,7
13,2012,1,1,13,1.6,0.3,-4.5,0.2,64,1.9,998.1,0.5,3.0,1.0,291,9
14,2012,1,1,14,1.9,0.3,-5.4,0.2,58,1.7,997.3,0.5,3.3,1.1,108,3
15,2012,1,1,15,2.0,0.3,-6.3,0.2,54,1.6,997.0,0.5,3.7,1.2,87,3
16,2012,1,1,16,1.1,0.3,-3.1,0.2,74,2.2,995.8,0.5,3.1,1.0,7,0
17,2012,1,1,17,-0.2,0.3,-4.5,0.2,73,2.2,997.0,0.5,4.6,1.5,1,0
18,2012,1,1,18,-1.6,0.3,-7.2,0.2,66,2.0,998.0,0.5,4.6,1.5,10,0
19,2012,1,1,19,-2.6,0.3,-9.6,0.2,59,1.8,998.7,0.5,4.4,1.4,10,0
20,2012,1,1,20,-3.5,0.3,-10.9,0.2,57,1.7,998.8,0.5,4.5,1.4,0,0
21,2012,1,1,21,-4.0,0.3,-11.4,0.2,56,1.7,998.9,0.5,4.6,1.5,0,0
22,2012,1,1,22,-4.4,0.3,-11.7,0.2,57,1.7,999.1,0.5,4.1,1.3,0,0
23,2012,1,1,23,-4.7,0.3,-11.9,0.2,57,1.7,999.4,0.5,3.7,1.2,0,0
24,2012,1,2,0,-4.9,0.3,-11.9,0.2,58,1.7,999.7,0.5,3.5,1.1,0,0
25,2012,1,2,1,-5.0,0.3,-12.0,0.2,58,1.7,999.7,0.5,3.2,1.0,0,0
26,2012,1,2,2,-5.0,0.3,-12.1,0.2,58,1.7,999.9,0.5,2.7,0.9,0,0
27,2012,1,2,3,-5.1,0.3,-12.1,0.2,58,1.7,1000.3,0.5,2.5,0.8,0,0
28,2012,1,2,4,-5.3,0.3,-11.8,0.2,60,1.8,1001.3,0.5,2.6,0.8,0,0
29,2012,1,2,5,-5.5,0.3,-11.7,0.2,62,1.9,1001.3,0.5,2.4,0.8,0,0
30,2012,1,2,6,-5.6,0.3,-11.7,0.2,62,1.9,1001.9,0.5,2.3,0.7,0,0
31,2012,1,2,7,-5.9,0.3,-11.6,0.2,64,1.9,1002.2,0.5,1.8,0.6,10,0
32,2012,1,2,8,-6.3,0.3,-11.6,0.2,66,2.0,1002.5,0.5,1.6,0.5,25,1
33,2012,1,2,9,-4.9,0.3,-11.6,0.2,59,1.8,1002.8,0.5,1.7,0.5,174,5
34,2012,1,2,10,-3.5,0.3,-11.5,0.2,54,1.6,1002.9,0.5,1.7,0.5,292,9
35,2012,1,2,11,-1.9,0.3,-11.4,0.2,48,1.4,1002.4,0.5,1.6,0.5,444,13
36,2012,1,2,12,-0.4,0.3,-11.3,0.2,44,1.3,1001.4,0.5,2.0,0.6,506,15
37,2012,1,2,13,0.7,0.3,-11.4,0.2,40,1.2,1000.4,0.5,2.3,0.7,454,14
38,2012,1,2,14,1.2,0.3,-11.5,0.2,38,1.1,1000.2,0.5,2.4,0.8,445,13
39,2012,1,2,15,1.3,0.3,-11.4,0.2,38,1.1,1000.0,0.5,2.2,0.7,329,10
40,2012,1,2,16,0.4,0.3,-10.6,0.2,43,1.3,1000.1,0.5,2.2,0.7,163,5
41,2012,1,2,17,-0.7,0.3,-10.0,0.2,49,1.5,1000.1,0.5,1.7,0.5,34,1
42,2012,1,2,18,-1.6,0.3,-9.8,0.2,54,1.6,1000.5,0.5,1.8,0.6,10,0
43,2012,1,2,19,-2.2,0.3,-9.6,0.2,57,1.7,1000.4,0.5,2.0,0.6,10,0
44,2012,1,2,20,-2.8,0.3,-9.3,0.2,61,1.8,1000.3,0.5,2.1,0.7,0,0
45,2012,1,2,21,-3.2,0.3,-8.9,0.2,65,2.0,1000.0,0.5,2.2,0.7,0,0
46,2012,1,2,22,-3.3,0.3,-8.5,0.2,67,2.0,999.9,0.5,2.3,0.7,0,0
47,2012,1,2,23,-3.4,0.3,-8.2,0.2,69,2.1,999.9,0.5,2.3,0.7,0,0
48,2012,1,3,0,-3.6,0.3,-8.0,0.2,72,2.2,999.6,0.5,2.4,0.8,0,0
49,2012,1,3,1,-3.7,0.3,-7.9,0.2,73,2.2,999.4,0.5,2.5,0.8,0,0
50,2012,1,3,2,-3.6,0.3,-7.8,0.2,73,2.2,999.1,0.5,2.4,0.8,0,0
51,2012,1,3,3,-3.6,0.3,-7.7,0.2,73,2.2,998.9,0.5,2.5,0.8,0,0
52,2012,1,3,4,-3.8,0.3,-8.1,0.2,72,2.2,998.4,0.5,2.8,0.9,0,0
53,2012,1,3,5,-4.1,0.3,-8.1,0.2,74,2.2,998.2,0.5,2.9,0.9,0,0
54,2012,1,3,6,-4.2,0.3,-8.1,0.2,74,2.2,998.2,0.5,2.8,0.9,0,0
55,2012,1,3,7,-4.3,0.3,-8.1,0.2,75,2.2,998.3,0.5,2.7,0.9,10,0
56,2012,1,3,8,-4.4,0.3,-8.2,0.2,75,2.2,998.5,0.5,2.5,0.8,12,0
57,2012,1,3,9,-3.5,0.3,-8.3,0.2,69,2.1,998.8,0.5,2.6,0.8,172,5
58,2012,1,3,10,-2.4,0.3,-8.8,0.2,61,1.8,998.6,0.5,2.7,0.9,240,7
59,2012,1,3,11,-0.9,0.3,-9.2,0.2,53,1.6,998.0,0.5,2.8,0.9,274,8
60,2012,1,3,12,0.5,0.3,-9.3,0.2,48,1.4,997.1,0.5,2.9,0.9,308,9
61,2012,1,3,13,1.7,0.3,-9.6,0.2,43,1.3,996.0,0.5,3.1,1.0,221,7
62,2012,1,3,14,2.4,0.3,-10.2,0.2,39,1.2,995.0,0.5,3.5,1.1,128,4
63,2012,1,3,15,2.7,0.3,-9.8,0.2,39,1.2,994.5,0.5,3.7,1.2,271,8
64,2012,1,3,16,2.5,0.3,-8.0,0.2,46,1.4,993.6,0.5,2.0,0.6,24,1
65,2012,1,3,17,1.3,0.3,-7.0,0.2,54,1.6,993.8,0.5,1.7,0.5,3,0
66,2012,1,3,18,-0.1,0.3,-6.3,0.2,63,1.9,994.2,0.5,2.1,0.7,10,0
67,2012,1,3,19,-1.1,0.3,-5.5,0.2,72,2.2,994.6,0.5,2.7,0.9,10,0
68,2012,1,3,20,-1.9,0.3,-5.5,0.2,76,2.3,994.7,0.5,3.6,1.2,0,0
69,2012,1,3,21,-2.8,0.3,-6.5,0.2,76,2.3,995.5,0.5,4.0,1.3,0,0
70,2012,1,3,22,-3.6,0.3,-8.3,0.2,70,2.1,995.8,0.5,4.2,1.3,0,0
71,2012,1,3,23,-4.3,0.3,-10.4,0.2,62,1.9,996.1,0.5,3.9,1.2,0,0
72,2012,1,4,0,-4.8,0.3,-11.5,0.2,59,1.8,996.2,0.5,4.0,1.3,0,0
73,2012,1,4,1,-5.2,0.3,-12.2,0.2,58,1.7,996.1,0.5,3.8,1.2,0,0
74,2012,1,4,2,-5.7,0.3,-12.6,0.2,58,1.7,996.1,0.5,3.6,1.2,0,0
75,2012,1,4,3,-6.1,0.3,-13.1,0.2,58,1.7,996.1,0.5,3.5,1.1,0,0
76,2012,1,4,4,-5.6,0.3,-12.0,0.2,61,1.8,996.1,0.5,3.6,1.2,0,0
77,2012,1,4,5,-5.8,0.3,-12.7,0.2,58,1.7,996.0,0.5,3.9,1.2,0,0
78,2012,1,4,6,-6.2,0.3,-13.5,0.2,56,1.7,996.3,0.5,4.1,1.3,0,0
79,2012,1,4,7,-6.6,0.3,-13.9,0.2,56,1.7,996.7,0.5,4.2,1.3,10,0
80,2012,1,4,8,-7.0,0.3,-14.4,0.2,56,1.7,997.6,0.5,4.3,1.4,16,0
81,2012,1,4,9,-6.6,0.3,-14.9,0.2,52,1.6,998.5,0.5,4.8,1.5,175,5
82,2012,1,4,10,-5.6,0.3,-15.1,0.2,47,1.4,999.3,0.5,4.7,1.5,253,8
83,2012,1,4,11,-4.4,0.3,-15.2,0.2,43,1.3,999.7,0.5,4.7,1.5,385,12
84,2012,1,4,12,-3.3,0.3,-15.3,0.2,39,1.2,999.1,0.5,4.7,1.5,512,15
85,2012,1,4,13,-2.5,0.3,-15.2,0.2,37,1.1,998.6,0.5,4.7,1.5,376,11
86,2012,1,4,14,-2.0,0.3,-15.3,0.2,35,1.0,998.4,0.5,4.6,1.5,453,14
87,2012,1,4,15,-2.0,0.3,-15.2,0.2,36,1.1,998.6,0.5,4.5,1.4,337,10
88,2012,1,4,16,-2.7,0.3,-13.9,0.2,42,1.3,998.9,0.5,4.3,1.4,183,6
89,2012,1,4,17,-3.7,0.3,-13.3,0.2,47,1.4,999.8,0.5,3.6,1.2,37,1
90,2012,1,4,18,-4.5,0.3,-12.8,0.2,52,1.6,1000.3,0.5,3.6,1.2,10,0
91,2012,1,4,19,-5.0,0.3,-12.1,0.2,58,1.7,1001.0,0.5,3.7,1.2,10,0
92,2012,1,4,20,-5.3,0.3,-11.6,0.2,61,1.8,1001.0,0.5,3.5,1.1,0,0
93,2012,1,4,21,-5.5,0.3,-11.5,0.2,63,1.9,1001.5,0.5,3.7,1.2,0,0
94,2012,1,4,22,-5.6,0.3,-11.2,0.2,65,2.0,1001.8,0.5,3.5,1.1,0,0
95,2012,1,4,23,-5.8,0.3,-11.2,0.2,66,2.0,1002.1,0.5,3.5,1.1,0,0
96,2012,1,5,0,-6.0,0.3,-11.5,0.2,65,2.0,1002.3,0.5,3.6,1.2,0,0
97,2012,1,5,1,-6.2,0.3,-11.7,0.2,65,2.0,1002.4,0.5,3.5,1.1,0,0
98,2012,1,5,2,-6.4,0.3,-11.9,0.2,65,2.0,1002.6,0.5,3.3,1.1,0,0
99,2012,1,5,3,-6.6,0.3,-12.0,0.2,65,2.0,1002.7,0.5,3.1,1.0,0,0
100,2012,1,5,4,-6.9,0.3,-12.6,0.2,64,1.9,1003.4,0.5,3.2,1.0,0,0
101,2012,1,5,5,-6.8,0.3,-12.6,0.2,63,1.9,1003.5,0.5,3.1,1.0,0,0
102,2012,1,5,6,-6.9,0.3,-12.5,0.2,64,1.9,1003.6,0.5,2.8,0.9,0,0
103,2012,1,5,7,-7.0,0.3,-12.5,0.2,65,2.0,1003.7,0.5,2.6,0.8,10,0
104,2012,1,5,8,-7.0,0.3,-12.5,0.2,65,2.0,1004.1,0.5,2.4,0.8,23,1
105,2012,1,5,9,-6.1,0.3,-12.3,0.2,62,1.9,1004.7,0.5,2.6,0.8,178,5
106,2012,1,5,10,-4.6,0.3,-12.3,0.2,55,1.6,1005.4,0.5,3.4,1.1,313,9
107,2012,1,5,11,-3.2,0.3,-12.2,0.2,50,1.5,1004.9,0.5,3.4,1.1,454,14
108,2012,1,5,12,-2.0,0.3,-12.4,0.2,45,1.3,1003.8,0.5,3.6,1.2,518,16
109,2012,1,5,13,-1.0,0.3,-12.7,0.2,41,1.2,1002.7,0.5,3.6,1.2,520,16
110,2012,1,5,14,-0.3,0.3,-13.1,0.2,37,1.1,1002.3,0.5,3.6,1.2,458,14
111,2012,1,5,15,-0.3,0.3,-13.1,0.2,37,1.1,1002.2,0.5,3.6,1.2,341,10
112,2012,1,5,16,-0.6,0.3,-13.0,0.2,39,1.2,1002.1,0.5,3.1,1.0,186,6
113,2012,1,5,17,-1.6,0.3,-12.5,0.2,43,1.3,1002.3,0.5,2.6,0.8,34,1
114,2012,1,5,18,-2.8,0.3,-12.2,0.2,48,1.4,1002.8,0.5,2.6,0.8,11,0
115,2012,1,5,19,-3.5,0.3,-11.8,0.2,53,1.6,1003.1,0.5,2.7,0.9,0,0
116,2012,1,5,20,-3.9,0.3,-11.6,0.2,55,1.6,1003.3,0.5,2.8,0.9,0,0
117,2012,1,5,21,-4.3,0.3,-11.7,0.2,56,1.7,1003.6,0.5,2.8,0.9,0,0
118,2012,1,5,22,-4.5,0.3,-12.1,0.2,55,1.6,1003.8,0.5,2.7,0.9,0,0
119,2012,1,5,23,-4.7,0.3,-12.6,0.2,54,1.6,1004.0,0.5,2.7,0.9,0,0
120,2012,1,6,0,-4.8,0.3,-13.1,0.2,52,1.6,1004.1,0.5,2.7,0.9,0,0
121,2012,1,6,1,-4.8,0.3,-13.5,0.2,51,1.5,1004.0,0.5,2.5,0.8,0,0
122,2012,1,6,2,-4.8,0.3,-13.6,0.2,50,1.5,1004.2,0.5,2.4,0.8,0,0
123,2012,1,6,3,-4.8,0.3,-13.0,0.2,53,1.6,1004.3,0.5,2.2,0.7,0,0
124,2012,1,6,4,-5.0,0.3,-13.2,0.2,53,1.6,1004.7,0.5,2.1,0.7,0,0
125,2012,1,6,5,-5.5,0.3,-12.3,0.2,59,1.8,1004.5,0.5,1.7,0.5,0,0
126,2012,1,6,6,-5.8,0.3,-11.7,0.2,63,1.9,1004.5,0.5,1.3,0.4,0,0
127,2012,1,6,7,-5.7,0.3,-11.1,0.2,66,2.0,1004.7,0.5,1.1,0.4,11,0
128,2012,1,6,8,-5.1,0.3,-10.4,0.2,66,2.0,1005.0,0.5,0.9,0.3,7,0
129,2012,1,6,9,-4.1,0.3,-9.9,0.2,64,1.9,1005.7,0.5,0.5,0.2,116,4
130,2012,1,6,10,-1.4,0.3,-9.4,0.2,54,1.6,1006.2,0.5,1.2,0.4,319,10
131,2012,1,6,11,0.2,0.3,-8.0,0.2,54,1.6,1006.1,0.5,2.1,0.7,342,10
132,2012,1,6,12,1.6,0.3,-7.8,0.2,50,1.5,1005.6,0.5,3.1,1.0,506,15
133,2012,1,6,13,2.1,0.3,-8.1,0.2,47,1.4,1004.7,0.5,3.2,1.0,335,10
134,2012,1,6,14,2.2,0.3,-8.5,0.2,45,1.3,1004.5,0.5,3.3,1.1,449,14
135,2012,1,6,15,2.3,0.3,-9.0,0.2,43,1.3,1004.6,0.5,3.3,1.1,268,8
136,2012,1,6,16,1.8,0.3,-8.6,0.2,46,1.4,1004.6,0.5,2.9,0.9,184,6
137,2012,1,6,17,0.7,0.3,-8.4,0.2,51,1.5,1005.3,0.5,2.2,0.7,34,1
138,2012,1,6,18,-0.6,0.3,-8.4,0.2,56,1.7,1005.9,0.5,1.9,0.6,10,0
139,2012,1,6,19,-1.6,0.3,-8.5,0.2,59,1.8,1006.4,0.5,1.9,0.6,10,0
