index,longitude (º),latitude (º),address,지상,elev (m)
1,128.4066,38.535,강원도 고성군 현내면 배봉리,1,95.6
6,127.5065,38.335,강원도 철원군 근동면 광삼리,1,287.9
11,128.2066,38.335,강원도 인제군 서화면 가전리,1,444.9
16,127.0064,38.235,경기도 연천군 신서면 신현리,1,95.3
21,127.5065,38.235,강원도 철원군 근남면 풍암리,1,867.8
26,128.0065,38.235,강원도 양구군 방산면 고방산리,1,483.8
31,128.5066,38.235,강원도 고성군 토성면 신평리,1,120.9
36,127.2064,38.135,경기도 포천시 관인면 삼율리,1,302.3
41,127.7065,38.135,강원도 화천군 화천읍 신읍리,1,156.1
46,128.2066,38.135,강원도 인제군 북면 월학리,1,337.3
51,126.9064,38.035,경기도 연천군 백학면 백령리,1,79.6
56,127.4065,38.035,경기도 포천시 이동면 도평리,1,565.7
61,127.9065,38.035,강원도 양구군 양구읍 수인리,1,549.7
66,128.4066,38.035,강원도 인제군 인제읍 귀둔리,1,788.2
71,126.8064,37.935,경기도 파주시 진동면 하포리,1,37.5
76,127.3064,37.935,경기도 포천시 일동면 유동리,1,159.2
81,127.8065,37.935,강원도 춘천시 동면 월곡리,1,280
86,128.3066,37.935,강원도 인제군 기린면 현리,1,300.5
91,128.8066,37.935,강원도 양양군 현남면 지리,1,-0.2
96,126.9064,37.835,경기도 파주시 법원읍 삼방리,1,169.5
101,127.4065,37.835,경기도 가평군 조종면 마일리,1,566.6
106,127.9065,37.835,강원도 홍천군 화촌면 풍천리,1,703.2
111,128.4066,37.835,강원도 홍천군 내면 광원리,1,518.8
116,128.9066,37.835,강원도 강릉시 사천면 산대월리,1,-7.5
121,126.7064,37.735,경기도 파주시 연다산동,1,16.9
126,127.2064,37.735,경기도 남양주시 진접읍 금곡리,1,160.1
131,127.7065,37.735,강원도 춘천시 남산면 광판리,1,108.8
136,128.2066,37.735,강원도 홍천군 서석면 검산리,1,707.1
141,128.7066,37.735,강원도 평창군 대관령면 횡계리,1,1014.9
146,126.7064,37.635,경기도 김포시 걸포동,1,9.4
151,127.2064,37.635,경기도 남양주시 금곡동,1,45.6
156,127.7065,37.635,강원도 홍천군 서면 팔봉리,1,412
161,128.2066,37.635,강원도 횡성군 청일면 속실리,1,477.4
166,128.7066,37.635,강원도 평창군 대관령면 수하리,1,800.6
171,126.8064,37.535,경기도 부천시 원종동,1,10.6
176,127.3064,37.535,경기도 남양주시 조안면 조안리,1,27
181,127.8065,37.535,강원도 횡성군 서원면 유현리,1,526.2
186,128.3066,37.535,강원도 평창군 봉평면 유포리,1,881
191,128.8066,37.535,강원도 강릉시 왕산면 고단리,1,766.3
195,130.9069,37.535,경상북도 울릉군 북면 천부리,1,302.3
196,126.8064,37.435,경기도 시흥시 은행동,1,7.7
201,127.3064,37.435,경기도 광주시 초월읍 서하리,1,38.4
206,127.8065,37.435,강원도 원주시 지정면 월송리,1,341.4
211,128.3066,37.435,강원도 평창군 방림면 운교리,1,606.7
216,128.8066,37.435,강원도 정선군 임계면 고양리,1,594.9
221,126.9064,37.335,경기도 군포시 속달동,1,64.5
226,127.4065,37.335,경기도 광주시 곤지암읍 봉현리,1,224.3
231,127.9065,37.335,강원도 원주시 호저면 만종리,1,253.7
236,128.4066,37.335,강원도 평창군 평창읍 천동리,1,776.7
241,128.9066,37.335,강원도 삼척시 하장면 추동리,1,851.6
246,126.6064,37.235,경기도 안산시 단원구 대부동동,1,6.8
251,127.1064,37.235,경기도 용인시 기흥구 공세동,1,61.3
256,127.6065,37.235,경기도 여주시 가남읍 안금리,1,148.9
261,128.1066,37.235,강원도 원주시 신림면 신림리,1,515
266,128.6066,37.235,강원도 정선군 신동읍 고성리,1,410.4
271,129.1067,37.235,강원도 삼척시 도계읍 황조리,1,913.2
276,127.0064,37.135,경기도 화성시 정남면 제기리,1,10.2
281,127.5065,37.135,경기도 이천시 설성면 수산리,1,96.1
286,128.0065,37.135,충청북도 제천시 백운면 원월리,1,387.4
291,128.5066,37.135,강원도 영월군 영월읍 팔괴리,1,816.9
296,129.0067,37.135,강원도 태백시 문곡동,1,701.9
301,126.4063,37.035,충청남도 당진시 석문면 난지도리,1,-2.9
306,127.0064,37.035,경기도 평택시 고덕면 동청리,1,6
311,127.5065,37.035,충청북도 음성군 삼성면 대야리,1,131.3
316,128.0065,37.035,충청북도 충주시 동량면 손동리,1,234.2
321,128.5066,37.035,충청북도 단양군 영춘면 남천리,1,408.1
326,129.0067,37.035,경상북도 봉화군 석포면 대현리,1,841.8
331,126.4063,36.935,충청남도 서산시 대산읍 대로리,1,14.2
336,126.9064,36.935,경기도 평택시 현덕면 장수리,1,17.9
341,127.4065,36.935,충청북도 진천군 이월면 신계리,1,215.2
346,127.9065,36.935,충청북도 충주시 풍동,1,106.3
