index,longitude,latitude,address,in_clust,elev
2,128.3066,38.435,강원도 고성군 수동면 고미성리,1,611.7
3,128.4066,38.435,강원도 고성군 거진읍 송강리,1,54.5
4,127.3064,38.335,강원도 철원군 동송읍 이길리,1,574.9
5,127.4065,38.335,강원도 철원군 근북면 율목리,1,291.9
7,127.6065,38.335,강원도 철원군 원남면 죽대리,1,409.3
8,127.7065,38.335,강원도 철원군 원동면 세현리,1,214.6
9,127.8065,38.335,강원도 철원군 원동면 등대리,1,442.0
12,128.3066,38.335,강원도 고성군 수동면 상원리,1,1074.2
13,128.4066,38.335,강원도 고성군 간성읍 어천리,1,453.2
14,128.5066,38.335,강원도 고성군 죽왕면 오봉리,1,5.1
15,128.6066,38.335,강원도 고성군 죽왕면 문암진리,1,-394.7
17,127.1064,38.235,경기도 연천군 신서면 마전리,1,241.3
18,127.2064,38.235,강원도 철원군 철원읍 화지리,1,219.9
19,127.3064,38.235,강원도 철원군 갈말읍 동막리,1,222.4
22,127.6065,38.235,강원도 화천군 상서면 마현리,1,513.8
23,127.7065,38.235,강원도 화천군 상서면 산양리,1,469.0
24,127.8065,38.235,강원도 화천군 화천읍 풍산리,1,359.8
25,127.9065,38.235,강원도 양구군 방산면 천미리,1,791.5
27,128.1066,38.235,강원도 양구군 해안면 만대리,1,984.6
28,128.2066,38.235,강원도 인제군 서화면 천도리,1,347.7
29,128.3066,38.235,강원도 인제군 서화면 서화리,1,1168.5
32,126.8064,38.135,경기도 연천군 왕징면 기곡리,1,78.3
33,126.9064,38.135,경기도 연천군 왕징면,1,164.4
34,127.0064,38.135,경기도 연천군 중면 삼곶리,1,66.3
35,127.1064,38.135,경기도 연천군 연천읍 옥산리,1,256.6
37,127.3064,38.135,강원도 철원군 갈말읍 신철원리,1,166.8
38,127.4065,38.135,강원도 철원군 서면 자등리,1,338.8
39,127.5065,38.135,강원도 화천군 사내면 명월리,1,864.8
42,127.8065,38.135,강원도 화천군 화천읍 동촌리,1,553.2
43,127.9065,38.135,강원도 양구군 양구읍 상무룡리,1,184.8
44,128.0065,38.135,강원도 양구군 양구읍 죽곡리,1,193.8
45,128.1066,38.135,강원도 인제군 인제읍 가아리,1,664.6
47,128.3066,38.135,강원도 인제군 북면 한계리,1,624.2
48,128.4066,38.135,강원도 인제군 북면 용대리,1,1019.2
49,128.5066,38.135,강원도 양양군 강현면 둔전리,1,1034.7
52,127.0064,38.035,경기도 연천군 미산면 우정리,1,44.7
53,127.1064,38.035,경기도 연천군 청산면 궁평리,1,69.0
54,127.2064,38.035,경기도 포천시 창수면 오가리,1,115.0
55,127.3064,38.035,경기도 포천시 영중면 성동리,1,578.6
57,127.5065,38.035,강원도 화천군 사내면 삼일리,1,523.9
58,127.6065,38.035,강원도 춘천시 사북면 오탄리,1,379.1
59,127.7065,38.035,강원도 화천군 하남면 거례리,1,395.8
62,128.0065,38.035,강원도 양구군 국토정중앙면 명곶리,1,626.6
63,128.1066,38.035,강원도 양구군 국토정중앙면 두무리,1,341.3
64,128.2066,38.035,강원도 인제군 인제읍 고사리,1,477.7
65,128.3066,38.035,강원도 인제군 인제읍 하추리,1,460.6
67,128.5066,38.035,강원도 양양군 서면 영덕리,1,855.6
68,128.6066,38.035,강원도 양양군 서면 수리,1,101.6
69,128.7066,38.035,강원도 양양군 현북면 중광정리,1,6.0
72,126.9064,37.935,경기도 파주시 적성면 마지리,1,39.6
